dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1483228800,2017-01-01 00:00:00 +0000 UTC,4671654,,,,295.16,293.15,297.15,1008,,,68,3,203,,,,,,,,,1,800,Clear,sky is clear,01n
1483232400,2017-01-01 01:00:00 +0000 UTC,4671654,,,,293.3,292.15,295.15,1008,,,68,3,203,,,,,,,,,90,804,Clouds,overcast clouds,04n
1483236000,2017-01-01 02:00:00 +0000 UTC,4671654,,,,291.14,290.15,292.15,1010,,,82,1,200,,,,,,,,,20,801,Clouds,few clouds,02n
1483239600,2017-01-01 03:00:00 +0000 UTC,4671654,,,,290.55,290.15,291.15,1010,,,82,1,140,,,,,,,,,1,800,Clear,sky is clear,01n
1483243200,2017-01-01 04:00:00 +0000 UTC,4671654,,,,289.57,287.15,292.15,1010,,,82,3,194,,,,,,,,,75,803,Clouds,broken clouds,04n
1483246800,2017-01-01 05:00:00 +0000 UTC,4671654,,,,288.29,285.15,291.15,1011,,,77,2,240,,,,,,,,,1,800,Clear,sky is clear,01n
1483250400,2017-01-01 06:00:00 +0000 UTC,4671654,,,,288.15,287.15,289.15,1011,,,82,2,181,,,,,,,,,1,701,Mist,mist,50n
1483254000,2017-01-01 07:00:00 +0000 UTC,4671654,,,,286.73,284.15,289.15,1011,,,93,2,181,,,,,,,,,20,701,Mist,mist,50n
1483254000,2017-01-01 07:00:00 +0000 UTC,4671654,,,,286.73,284.15,289.15,1011,,,93,2,181,,,,,,,,,20,741,Fog,fog,50n
1483257600,2017-01-01 08:00:00 +0000 UTC,4671654,,,,285.57,284.15,287.15,1011,,,93,1,188,,,,,,,,,90,701,Mist,mist,50n
1483257600,2017-01-01 08:00:00 +0000 UTC,4671654,,,,285.57,284.15,287.15,1011,,,93,1,188,,,,,,,,,90,741,Fog,fog,50n
1483261200,2017-01-01 09:00:00 +0000 UTC,4671654,,,,285.42,284.15,287.15,1011,,,71,6,20,,,,,,,,,1,701,Mist,mist,50n
1483261200,2017-01-01 09:00:00 +0000 UTC,4671654,,,,285.42,284.15,287.15,1011,,,71,6,20,,,,,,,,,1,741,Fog,fog,50n
1483264800,2017-01-01 10:00:00 +0000 UTC,4671654,,,,284.84,283.15,287.15,1012,,,82,1,30,,,,,,,,,90,701,Mist,mist,50n
1483268400,2017-01-01 11:00:00 +0000 UTC,4671654,,,,285.14,284.15,287.15,1012,,,93,0,85,,,,,,,,,90,701,Mist,mist,50n
1483272000,2017-01-01 12:00:00 +0000 UTC,4671654,,,,284.55,282.15,287.15,1012,,,62,2,340,,,,,,,,,90,701,Mist,mist,50n
1483275600,2017-01-01 13:00:00 +0000 UTC,4671654,,,,283.72,281.15,286.15,1013,,,58,1,330,,,,,,,,,1,701,Mist,mist,50n
1483279200,2017-01-01 14:00:00 +0000 UTC,4671654,,,,282.61,280.15,285.15,1013,,,70,2,320,,,,,,,,,75,803,Clouds,broken clouds,04d
1483282800,2017-01-01 15:00:00 +0000 UTC,4671654,,,,283.42,281.15,285.15,1013,,,57,3,330,,,,,,,,,75,803,Clouds,broken clouds,04d
1483286400,2017-01-01 16:00:00 +0000 UTC,4671654,,,,285.43,284.15,286.15,1013,,,54,2,20,,,,,,,,,40,802,Clouds,scattered clouds,03d
1483290000,2017-01-01 17:00:00 +0000 UTC,4671654,,,,288,287.15,289.15,1013,,,44,2,340,,,,,,,,,40,802,Clouds,scattered clouds,03d
