TRAFFIC_STUDY_CLASS_ID,ROW_ID,DATA_FILE,SITE_CODE,DATETIME,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,TIME,COUNT_TOTAL,CLASS_CHANNEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13
22943,68692e2cf79846800fbb5461f05c85ad551b4eda,YandallDr2615BlkBD.rdf,G-11 FED,01/30/2017 09:00:00 PM,2017,1,30,0,21:00,70,EB,0,57,8,4,0,1,0,0,0,0,0,0,0
22958,da3b36d87b3b1803efa2a20b2d7897ba74ab490a,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 12:00:00 PM,2017,1,31,1,12:00,9,EB,0,8,1,0,0,0,0,0,0,0,0,0,0
22919,9432ca82965f068fd2b8a84c4a6eae8ee3ea059f,YandallDr2615BlkBD.rdf,G-11 FED,01/30/2017 09:00:00 PM,2017,1,30,0,21:00,22,WB,0,18,4,0,0,0,0,0,0,0,0,0,0
22945,ca67971f44ffe5619b6a30204d6e23f4c0a1567a,YandallDr2615BlkBD.rdf,G-11 FED,01/30/2017 11:00:00 PM,2017,1,30,0,23:00,43,EB,0,35,7,0,1,0,0,0,0,0,0,0,0
22941,4abbe596786c84f1893977b7063bda13d53cbfcb,YandallDr2615BlkBD.rdf,G-11 FED,01/30/2017 07:00:00 PM,2017,1,30,0,19:00,11,EB,0,10,1,0,0,0,0,0,0,0,0,0,0
22929,4ff12a6799b9ef15c58766d6ffc98f957ab676ab,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 07:00:00 AM,2017,1,31,1,07:00,1,WB,0,0,1,0,0,0,0,0,0,0,0,0,0
22931,4ce4f6cd93b584887d26329104858faeb1f1f768,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 09:00:00 AM,2017,1,31,1,09:00,0,WB,0,0,0,0,0,0,0,0,0,0,0,0,0
22935,d0e44bd5ee9735b2299fc8047ab729ced8ee03ca,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 01:00:00 PM,2017,1,31,1,13:00,91,WB,0,72,12,3,4,0,0,0,0,0,0,0,0
22948,2023aa8e1520133e51d5bf13bc6715807a9bb075,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 02:00:00 AM,2017,1,31,1,02:00,18,EB,0,13,5,0,0,0,0,0,0,0,0,0,0
22961,cc5619f38fbd09ad248582d9f0986b3e1487061b,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 03:00:00 PM,2017,1,31,1,15:00,11,EB,0,11,0,0,0,0,0,0,0,0,0,0,0
22922,7b1de33fef1763c726f08d2daa56c50028b8ba49,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 12:00:00 AM,2017,1,31,1,00:00,15,WB,0,10,5,0,0,0,0,0,0,0,0,0,0
22917,88bdcfd3312ba2eac0367f5909d6a1eedf1095fb,YandallDr2615BlkBD.rdf,G-11 FED,01/30/2017 07:00:00 PM,2017,1,30,0,19:00,21,WB,0,16,4,0,0,1,0,0,0,0,0,0,0
22954,a76bc146b3c2066e8df837292b061b017c530028,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 08:00:00 AM,2017,1,31,1,08:00,1,EB,0,1,0,0,0,0,0,0,0,0,0,0,0
22960,1d934cf847a60c7bffde3bfdc41c949d4aa405a2,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 02:00:00 PM,2017,1,31,1,14:00,19,EB,0,17,2,0,0,0,0,0,0,0,0,0,0
22930,406189a21389035b0a975d24b40ffb45859bf3de,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 08:00:00 AM,2017,1,31,1,08:00,1,WB,0,1,0,0,0,0,0,0,0,0,0,0,0
22937,cb08efccc352ec53555d1f324aa934d9e38f68a7,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 03:00:00 PM,2017,1,31,1,15:00,23,WB,0,19,2,0,0,0,0,2,0,0,0,0,0
22944,97d0f365b9b2318389b2f7303c8f0717a429a835,YandallDr2615BlkBD.rdf,G-11 FED,01/30/2017 10:00:00 PM,2017,1,30,0,22:00,49,EB,0,43,4,1,1,0,0,0,0,0,0,0,0
22951,2f0f8aa9673a5f305110c9f5a36de942e7048357,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 05:00:00 AM,2017,1,31,1,05:00,7,EB,0,6,1,0,0,0,0,0,0,0,0,0,0
22962,4936f587c76838c05986680d19b4bec730c0b226,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 04:00:00 PM,2017,1,31,1,16:00,13,EB,0,8,5,0,0,0,0,0,0,0,0,0,0
22926,6e3eb81bdc19ded76f79af2d386e87142a5d227e,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 04:00:00 AM,2017,1,31,1,04:00,7,WB,0,7,0,0,0,0,0,0,0,0,0,0,0
22947,ad7c7411e9571316b3256f34a65ff9d3cee42109,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 01:00:00 AM,2017,1,31,1,01:00,22,EB,1,17,3,0,1,0,0,0,0,0,0,0,0
22932,283e82037ea1d4aafc59fdff7efc737892394270,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 10:00:00 AM,2017,1,31,1,10:00,2,WB,0,2,0,0,0,0,0,0,0,0,0,0,0
22956,544c5e5c85d81e578bf73aadd891291a64c37fe3,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 10:00:00 AM,2017,1,31,1,10:00,1,EB,0,0,1,0,0,0,0,0,0,0,0,0,0
22940,c04bb87771af61419f380b7556c1963e30d4b2cd,YandallDr2615BlkBD.rdf,G-11 FED,01/30/2017 06:00:00 PM,2017,1,30,0,18:00,16,EB,0,14,2,0,0,0,0,0,0,0,0,0,0
22950,df262da9b8efe2441dad3e3841f8eaa306719165,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 04:00:00 AM,2017,1,31,1,04:00,12,EB,0,11,1,0,0,0,0,0,0,0,0,0,0
22959,30a35d694b97affa997c30e4f158b44be73db1aa,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 01:00:00 PM,2017,1,31,1,13:00,79,EB,0,63,13,2,1,0,0,0,0,0,0,0,0
22957,82f994739c808f33ec8b7bdfb5143251c953dea5,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 11:00:00 AM,2017,1,31,1,11:00,1,EB,0,0,1,0,0,0,0,0,0,0,0,0,0
22934,b73eb0031232368d834775e01121a03fad37ed74,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 12:00:00 PM,2017,1,31,1,12:00,27,WB,0,19,7,0,1,0,0,0,0,0,0,0,0
22923,61a5b963c3d466571bc2b2ee1a832a5f0be7e309,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 01:00:00 AM,2017,1,31,1,01:00,15,WB,0,12,3,0,0,0,0,0,0,0,0,0,0
22963,472d32f6197ee6510605198b1ae88e9e4f18914f,YandallDr2615BlkBD.rdf,G-11 FED,01/31/2017 05:00:00 PM,2017,1,31,1,17:00,18,EB,0,12,5,0,1,0,0,0,0,0,0,0,0
22918,4121c1d72f532f7f55c93403f24d0aed03af1780,YandallDr2615BlkBD.rdf,G-11 FED,01/30/2017 08:00:00 PM,2017,1,30,0,20:00,29,WB,0,19,8,0,2,0,0,0,0,0,0,0,0
